Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1636570667.2141669,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.2372324,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.2621741,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.287222,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.3121555,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.3372178,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.362213,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.3872569,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.4123676,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.4371364,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.462197,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.487124,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.5121028,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.537238,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.5622692,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.5872226,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.612266,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.6372845,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.6625757,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.6872063,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.7122018,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.737273,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.7621627,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.7872162,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.8121564,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.8371491,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.8622484,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.8871758,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.9123998,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.9372277,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.9621384,0.0,0.0,0.0,0.0,0.0,0.0
1636570667.98728,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.0121517,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.0372021,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.0621774,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.0872562,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.1121254,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.137228,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.162205,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.187312,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.2122269,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.2371345,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.2622674,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.2872627,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.3122346,0.0,0.0,0.0,0.0,0.0,0.0
1636570668.3372526,0.0,0.0,0.0,0.0,0.0,0.0
