Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10
1636570667.7012122,63663,1636570667,701075565,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.717933,63664,1636570667,717724269,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.734663,63665,1636570667,734377580,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.753263,63666,1636570667,751825800,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.767915,63667,1636570667,767701923,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.7846327,63668,1636570667,784384858,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.8011997,63669,1636570667,801030703,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.8178275,63670,1636570667,817693771,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.8346066,63671,1636570667,834396752,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.851212,63672,1636570667,851033401,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.8679113,63673,1636570667,867731141,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.8844903,63674,1636570667,884365205,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.9013216,63675,1636570667,901031121,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.9183788,63676,1636570667,917709673,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.934571,63677,1636570667,934371976,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.9511976,63678,1636570667,951041533,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.9677627,63679,1636570667,967676122,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.984476,63680,1636570667,984357518,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.0012343,63681,1636570668,1031280,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.0178635,63682,1636570668,17692648,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.034533,63683,1636570668,34382904,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.0511785,63684,1636570668,51045892,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.0678623,63685,1636570668,67710602,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.0846171,63686,1636570668,84378883,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1012013,63687,1636570668,101069682,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1178432,63688,1636570668,117700117,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1346,63689,1636570668,134378162,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1512148,63690,1636570668,151053001,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1678696,63691,1636570668,167716208,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.1845431,63692,1636570668,184367610,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.2012157,63693,1636570668,201059499,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.217897,63694,1636570668,217704037,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.2355921,63695,1636570668,234380190,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.2511375,63696,1636570668,251031173,joystick,-1.0,0.0553300566971302,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
